time,boiler,fridge,freezer,mw,waterkettle,coffee,lamp,lamp,lmap,lmap,lamp,total
10826,2,0,2,2,0,4,0,0,,0,0,6
10827,2,0,0,2,0,2,0,0,,0,0,6
10828,2,0,0,0,0,4,0,0,,0,0,6
10829,2,0,0,0,0,2,0,0,,0,0,8
10830,2,0,2,2,0,4,0,0,,0,0,6
10831,2,0,0,0,0,2,0,0,,0,0,6
10832,2,0,2,2,0,2,0,0,,0,0,8
10833,2,0,2,0,0,4,0,0,,0,0,8
10834,2,0,0,0,0,4,0,0,,0,0,8
10835,2,0,2,2,0,4,0,0,,0,0,6
10836,11,0,0,2,0,2,0,0,,0,0,17
10837,13,0,2,0,0,2,0,0,,0,0,17
10838,64,0,0,0,0,4,0,0,,0,0,68
10839,79,0,0,2,0,2,0,0,,0,0,81
10840,81,0,0,2,0,4,0,0,,0,0,89
10841,77,0,2,0,0,4,0,0,,0,0,81
10842,77,0,0,0,0,4,0,0,,0,0,85
10843,77,0,2,2,0,2,0,0,,0,0,83
10844,77,0,2,0,0,2,0,0,,0,0,79
10845,75,0,0,2,0,2,0,0,,0,0,79
10846,75,0,2,2,0,4,0,0,,0,0,79
10847,75,0,0,0,0,4,0,0,,0,0,81
10848,75,0,0,0,0,2,2,0,,0,0,79
10849,75,0,0,0,0,2,0,0,,0,0,81
10850,75,0,2,2,0,4,0,0,,0,0,81
10851,73,0,0,0,0,2,0,0,,0,0,77
10852,73,0,2,2,0,2,0,0,,0,0,77
10853,70,0,0,2,0,4,0,0,,0,0,74
10854,73,0,0,0,0,2,0,0,,0,0,75
10855,73,0,0,2,0,2,0,0,,0,0,77
10856,73,0,2,0,0,4,0,0,,0,0,79
10857,73,0,0,0,0,4,0,0,,0,0,79
10858,68,0,2,0,0,4,0,0,,0,0,74
10859,68,0,0,2,0,4,0,0,,0,0,72
10860,19,0,0,0,0,2,0,0,,0,0,25
10861,17,0,2,2,0,2,0,0,,0,0,21
10862,2,0,0,0,0,2,0,0,,0,0,6
10863,2,0,2,2,0,2,0,0,,0,0,4
10864,2,0,0,2,0,271,0,0,,0,0,277
10865,2,0,2,0,0,1090,0,0,,0,0,1094
10866,2,0,2,0,0,1090,0,0,,0,0,1094
10867,2,0,0,2,0,1088,0,0,,0,0,1094
10868,2,0,2,0,0,1085,0,0,,0,0,1087
10869,2,0,0,2,0,1085,0,0,,0,0,1089
10870,2,0,0,2,0,1083,0,0,,0,0,1085
10871,2,0,0,0,0,1079,0,0,,0,0,1081
10872,0,0,0,2,0,1079,0,0,,0,0,1081
10873,2,0,2,0,0,1079,0,0,,0,0,1083
10874,2,0,0,0,0,1077,0,0,,0,0,1083
10875,2,0,2,0,0,1075,0,0,,0,0,1077
10876,2,0,0,2,0,1073,0,0,,0,0,1079
10877,2,2,0,2,0,109,0,0,,0,0,115
10878,2,2,2,0,0,1075,0,0,,0,0,1077
10879,2,0,0,2,0,1250,0,0,,0,0,1254
10880,2,0,0,0,0,1194,0,0,,0,0,1196
10881,2,0,0,0,0,778,0,0,,0,0,784
10882,2,0,2,2,0,1117,0,0,,0,0,1119
10883,2,0,0,0,0,827,0,0,,0,0,831
10884,2,0,2,2,0,2,0,0,,0,0,6
10885,2,0,0,0,0,107,0,0,,0,0,113
10886,2,0,2,0,0,4,0,0,,0,0,8
10887,2,0,2,2,0,934,0,0,,0,0,938
10888,2,0,0,2,0,593,0,0,,0,0,597
10889,2,0,2,0,0,4,0,0,,0,0,8
