time,boiler,fridge,freezer,mw,waterkettle,coffee,lamp,lamp,lmap,lmap,lamp,total
10726,2,0,2,0,0,2,0,0,,0,0,6
10727,2,0,0,0,0,4,0,0,,0,0,6
10728,2,0,2,0,0,2,0,0,,0,0,6
10729,2,0,0,2,0,4,0,0,,0,0,8
10730,2,0,0,0,0,4,0,0,,0,0,6
10731,2,0,2,2,0,4,0,0,,0,0,10
10732,2,0,0,2,0,2,2,0,,0,0,8
10733,2,0,0,0,0,2,0,0,,0,0,4
10734,2,0,2,2,0,4,0,0,,0,0,10
10735,2,0,0,0,0,4,0,0,,0,0,6
10736,2,0,2,2,0,4,0,0,,0,0,10
10737,2,0,2,0,0,2,0,0,,0,0,6
10738,2,0,0,2,0,2,0,0,,0,0,6
10739,2,0,2,0,0,2,0,0,,0,0,6
10740,2,0,0,2,0,4,0,0,,0,0,8
10741,0,0,2,2,0,4,0,0,,0,0,8
10742,0,0,2,0,0,2,0,0,,0,0,4
10743,2,0,0,0,0,4,0,0,,0,0,6
10744,2,0,2,2,0,2,0,0,,0,0,8
10745,2,0,0,0,0,2,0,0,,0,0,4
10746,2,0,2,0,0,4,0,0,,0,0,8
10747,2,0,0,2,0,2,0,0,,0,0,6
10748,2,0,0,0,0,2,0,0,,0,0,4
10749,2,0,2,2,0,4,0,0,,0,0,10
10750,2,0,0,2,0,4,0,0,,0,0,8
10751,2,0,2,2,0,4,0,0,,0,0,10
10752,2,0,0,0,0,4,2,0,,0,0,8
10753,2,0,2,2,0,2,0,0,,0,0,8
10754,2,0,2,0,0,2,0,0,,0,0,6
10755,2,0,0,0,0,2,0,0,,0,0,4
10756,2,0,2,0,0,4,0,0,,0,0,8
10757,2,2,0,2,0,2,0,0,,0,0,8
10758,2,0,2,0,0,2,0,0,,0,0,6
10759,2,0,2,0,0,4,0,0,,0,0,8
10760,2,0,0,2,0,4,0,0,,0,0,8
10761,2,0,2,0,0,2,2,0,,0,0,8
10762,2,0,0,2,0,2,0,0,,0,0,6
10763,0,0,2,0,0,4,0,0,,0,0,6
10764,2,0,2,0,0,4,0,0,,0,0,8
10765,2,0,0,0,0,2,0,0,,0,0,4
10766,2,0,2,0,0,4,0,0,,0,0,8
10767,2,0,2,2,0,4,0,0,,0,0,10
10768,2,0,0,0,0,4,0,0,,0,0,6
10769,2,0,2,2,0,2,0,0,,0,0,8
10770,2,0,2,0,0,4,0,0,,0,0,8
10771,2,0,0,2,0,4,0,0,,0,0,8
10772,2,0,0,2,0,2,0,0,,0,0,6
10773,2,0,0,0,0,2,0,0,,0,0,4
10774,2,0,2,2,0,4,0,0,,0,0,10
10775,2,0,2,2,0,4,0,0,,0,0,10
10776,2,0,0,0,0,2,0,0,,0,0,4
10777,2,0,2,0,0,4,0,0,,0,0,8
10778,2,0,0,0,0,4,0,0,,0,0,6
10779,2,0,2,2,0,2,0,0,,0,0,8
10780,2,0,2,0,0,2,0,0,,0,0,6
10781,2,0,0,2,0,4,0,0,,0,0,8
10782,2,0,2,0,0,4,0,0,,0,0,8
10783,2,0,0,0,0,2,0,0,,0,0,4
10784,2,0,2,2,0,4,0,0,,0,0,10
10785,2,0,2,2,0,2,0,0,,0,0,8
10786,2,0,0,0,0,2,0,0,,0,0,4
10787,2,0,2,2,0,2,0,0,,0,0,8
10788,2,0,0,2,0,2,0,0,,0,0,6
10789,2,0,2,0,0,2,0,0,,0,0,6
10790,2,0,0,0,0,2,0,0,,0,0,4
10791,2,0,0,2,0,2,0,0,,0,0,6
10792,2,0,2,0,0,4,2,0,,0,0,10
10793,2,0,0,2,0,2,0,0,,0,0,6
10794,2,0,0,0,0,4,0,0,,0,0,6
10795,0,0,0,0,0,4,0,0,,0,0,4
10796,2,0,2,2,0,4,0,0,,0,0,10
10797,2,0,2,2,0,4,0,0,,0,0,10
10798,2,0,2,0,0,2,0,0,,0,0,6
10799,2,0,0,2,0,4,0,0,,0,0,8
10800,2,0,2,2,0,4,0,0,,0,0,10
10801,2,0,0,0,0,2,0,0,,0,0,4
10802,2,0,2,0,0,4,0,0,,0,0,8
10803,2,0,2,2,0,4,0,0,,0,0,10
10804,2,0,0,2,0,2,0,0,,0,0,6
10805,2,0,2,2,0,4,0,0,,0,0,10
10806,2,0,0,0,0,2,0,0,,0,0,4
10807,2,0,0,0,0,2,0,0,,0,0,4
10808,2,0,2,2,0,4,0,0,,0,0,10
10809,2,0,2,2,0,4,0,0,,0,0,10
10810,2,0,2,0,0,4,0,0,,0,0,8
10811,2,0,0,0,0,2,0,0,,0,0,4
10812,2,0,2,2,0,4,0,0,,0,0,10
10813,2,0,0,2,0,4,2,0,,0,0,10
10814,2,0,2,2,0,4,0,0,,0,0,10
10815,2,0,2,0,0,4,0,0,,0,0,8
10816,2,0,0,0,0,2,0,0,,0,0,4
10817,2,0,0,2,0,2,0,0,,0,0,6
10818,2,0,2,2,0,2,0,0,,0,0,8
10819,2,0,0,0,0,4,0,0,,0,0,6
10820,2,0,2,2,0,4,0,0,,0,0,10
10821,2,0,0,2,0,4,0,0,,0,0,8
10822,2,0,0,2,0,4,0,0,,0,0,8
10823,2,0,2,2,0,4,0,0,,0,0,10
10824,2,0,0,0,0,4,0,0,,0,0,6
10825,2,0,2,0,0,4,0,0,,0,0,8
10826,2,0,2,2,0,4,0,0,,0,0,10
10827,2,0,0,2,0,2,0,0,,0,0,6
10828,2,0,0,0,0,4,0,0,,0,0,6
10829,2,0,0,0,0,2,0,0,,0,0,4
10830,2,0,2,2,0,4,0,0,,0,0,10
10831,2,0,0,0,0,2,0,0,,0,0,4
10832,2,0,2,2,0,2,0,0,,0,0,8
10833,2,0,2,0,0,4,0,0,,0,0,8
10834,2,0,0,0,0,4,0,0,,0,0,6
10835,2,0,2,2,0,4,0,0,,0,0,10
10836,11,0,0,2,0,2,0,0,,0,0,15
10837,13,0,2,0,0,2,0,0,,0,0,17
10838,64,0,0,0,0,4,0,0,,0,0,68
10839,79,0,0,2,0,2,0,0,,0,0,83
10840,81,0,0,2,0,4,0,0,,0,0,87
10841,77,0,2,0,0,4,0,0,,0,0,83
10842,77,0,0,0,0,4,0,0,,0,0,81
10843,77,0,2,2,0,2,0,0,,0,0,83
10844,77,0,2,0,0,2,0,0,,0,0,81
10845,75,0,0,2,0,2,0,0,,0,0,79
10846,75,0,2,2,0,4,0,0,,0,0,83
10847,75,0,0,0,0,4,0,0,,0,0,79
10848,75,0,0,0,0,2,2,0,,0,0,79
10849,75,0,0,0,0,2,0,0,,0,0,77
10850,75,0,2,2,0,4,0,0,,0,0,83
10851,73,0,0,0,0,2,0,0,,0,0,75
10852,73,0,2,2,0,2,0,0,,0,0,79
10853,70,0,0,2,0,4,0,0,,0,0,76
10854,73,0,0,0,0,2,0,0,,0,0,75
10855,73,0,0,2,0,2,0,0,,0,0,77
10856,73,0,2,0,0,4,0,0,,0,0,79
10857,73,0,0,0,0,4,0,0,,0,0,77
10858,68,0,2,0,0,4,0,0,,0,0,74
10859,68,0,0,2,0,4,0,0,,0,0,74
10860,19,0,0,0,0,2,0,0,,0,0,21
10861,17,0,2,2,0,2,0,0,,0,0,23
10862,2,0,0,0,0,2,0,0,,0,0,4
10863,2,0,2,2,0,2,0,0,,0,0,8
10864,2,0,0,2,0,271,0,0,,0,0,275
10865,2,0,2,0,0,1090,0,0,,0,0,1094
10866,2,0,2,0,0,1090,0,0,,0,0,1094
10867,2,0,0,2,0,1088,0,0,,0,0,1092
10868,2,0,2,0,0,1085,0,0,,0,0,1089
10869,2,0,0,2,0,1085,0,0,,0,0,1089
10870,2,0,0,2,0,1083,0,0,,0,0,1087
10871,2,0,0,0,0,1079,0,0,,0,0,1081
10872,0,0,0,2,0,1079,0,0,,0,0,1081
10873,2,0,2,0,0,1079,0,0,,0,0,1083
10874,2,0,0,0,0,1077,0,0,,0,0,1079
10875,2,0,2,0,0,1075,0,0,,0,0,1079
10876,2,0,0,2,0,1073,0,0,,0,0,1077
10877,2,2,0,2,0,109,0,0,,0,0,115
10878,2,2,2,0,0,1075,0,0,,0,0,1081
10879,2,0,0,2,0,1250,0,0,,0,0,1254
10880,2,0,0,0,0,1194,0,0,,0,0,1196
10881,2,0,0,0,0,778,0,0,,0,0,780
10882,2,0,2,2,0,1117,0,0,,0,0,1123
10883,2,0,0,0,0,827,0,0,,0,0,829
10884,2,0,2,2,0,2,0,0,,0,0,8
10885,2,0,0,0,0,107,0,0,,0,0,109
10886,2,0,2,0,0,4,0,0,,0,0,8
10887,2,0,2,2,0,934,0,0,,0,0,940
10888,2,0,0,2,0,593,0,0,,0,0,597
10889,2,0,2,0,0,4,0,0,,0,0,8
10890,2,0,0,2,0,4,0,0,,0,0,8
10891,2,0,2,0,0,2,0,0,,0,2,8
10892,2,0,2,2,0,2,0,0,,0,0,8
10893,2,0,0,2,0,2,2,0,,0,0,8
10894,2,0,2,0,0,2,0,0,,0,0,6
10895,2,0,0,0,0,4,0,0,,0,0,6
10896,2,0,2,2,0,2,0,0,,0,0,8
10897,2,0,2,2,0,2,0,0,,0,0,8
10898,2,0,0,0,0,4,0,0,,0,0,6
10899,2,0,0,2,0,2,0,0,,0,0,6
10900,2,0,2,2,0,4,0,0,,0,0,10
10901,2,0,0,2,0,4,0,0,,0,0,8
10902,2,0,0,0,0,100,0,0,,0,0,102
10903,2,0,2,2,0,4,2,0,,0,2,14
10904,2,0,0,0,0,4,0,0,,0,0,6
10905,2,0,2,2,0,2,0,0,,0,0,8
10906,2,0,0,2,0,2,0,0,,0,0,6
10907,2,0,2,0,0,2,0,0,,0,0,6
10908,2,0,0,2,0,4,0,0,,0,0,8
10909,2,0,0,2,0,2,0,0,,0,0,6
10910,2,0,2,0,0,2,0,0,,0,0,6
10911,2,0,0,2,0,4,0,0,,0,0,8
10912,2,0,2,0,0,2,0,0,,0,0,6
10913,2,0,0,0,0,4,0,0,,0,0,6
10914,2,0,2,2,0,4,0,0,,0,0,10
10915,2,0,0,0,0,2,2,0,,0,0,6
10916,2,0,2,2,0,4,0,0,,0,0,10
10917,0,0,0,2,0,4,0,0,,0,0,6
10918,2,0,2,2,0,4,0,0,,0,0,10
10919,2,0,0,0,0,4,0,0,,0,0,6
10920,2,0,0,2,0,2,0,0,,0,0,6
10921,2,0,2,0,0,2,0,0,,0,0,6
10922,2,0,0,2,0,132,0,0,,0,0,136
10923,2,0,2,0,0,32,0,0,,0,0,36
10924,2,0,0,2,0,190,0,0,,0,0,194
10925,2,0,0,2,0,1166,0,0,,0,0,1170
10926,2,0,2,0,0,763,0,0,,0,0,767
10927,2,0,0,2,0,763,0,0,,0,0,767
10928,2,0,0,0,0,1162,0,0,,0,0,1164
10929,2,0,0,0,0,1158,0,0,,0,0,1160
10930,2,0,0,0,0,1160,0,0,,0,0,1162
10931,2,0,2,2,0,1113,0,0,,0,0,1119
10932,2,0,2,0,0,584,0,0,,0,0,588
10933,2,0,2,2,0,1128,0,0,,0,0,1134
10934,2,0,0,2,0,2,0,0,,0,0,6
10935,2,0,2,0,0,4,0,0,,0,0,8
10936,2,0,0,2,0,4,0,0,,0,0,8
10937,2,0,2,0,0,264,0,0,,0,0,268
10938,2,0,2,2,0,2,0,0,,0,0,8
10939,2,0,0,2,0,2,0,0,,0,0,6
10940,2,0,0,0,0,4,0,0,,0,0,6
10941,2,0,2,2,0,429,0,0,,0,0,435
10942,2,0,0,2,0,260,0,0,,0,0,264
10943,2,0,0,0,0,2,0,0,,0,0,4
10944,2,0,2,0,0,4,0,0,,0,0,8
10945,2,0,0,0,0,4,0,0,,0,0,6
10946,2,0,2,2,0,4,0,0,,0,0,10
10947,2,0,0,2,0,2,0,0,,0,0,6
10948,2,0,2,2,0,4,0,0,,0,0,10
10949,2,0,2,0,0,2,0,0,,0,0,6
10950,2,0,0,0,0,4,0,0,,0,0,6
10951,2,0,2,0,0,2,0,0,,0,0,6
10952,2,0,2,2,0,4,0,0,,0,0,10
10953,2,0,0,2,0,4,0,0,,0,0,8
10954,2,0,2,2,0,4,0,0,,0,0,10
10955,0,0,2,2,0,4,0,0,,0,0,8
10956,2,0,0,0,0,2,0,0,,0,0,4
10957,2,0,2,0,0,2,0,0,,0,0,6
10958,2,0,0,2,0,4,0,0,,0,0,8
10959,2,0,2,0,0,2,0,0,,0,0,6
10960,2,0,2,0,0,4,0,0,,0,0,8
10961,2,0,0,2,0,4,0,0,,0,0,8
10962,2,0,0,2,0,4,0,0,,0,0,8
10963,2,0,2,0,0,2,0,0,,0,0,6
10964,2,0,2,2,0,2,0,0,,0,0,8
10965,2,2,0,0,0,4,0,0,,0,0,8
10966,2,2,0,2,0,2,0,0,,0,0,8
10967,2,0,2,2,0,2,0,0,,0,0,8
10968,2,0,0,0,0,2,0,0,,0,0,4
10969,2,0,2,0,0,2,0,0,,0,0,6
10970,2,0,0,2,0,4,0,0,,0,0,8
10971,2,0,2,2,0,4,0,0,,0,0,10
10972,2,0,2,2,0,4,0,0,,0,0,10
10973,2,0,0,0,0,4,0,0,,0,0,6
10974,2,0,0,0,0,2,0,0,,0,0,4
10975,2,0,2,2,0,414,0,0,,0,0,420
10976,2,0,2,2,0,2,0,0,,0,0,8
10977,2,0,0,0,0,4,0,0,,0,0,6
10978,2,0,2,0,0,2,0,0,,0,0,6
10979,2,0,0,2,0,4,0,0,,0,0,8
10980,2,0,2,0,0,409,0,0,,0,0,413
10981,2,0,0,0,0,4,0,0,,0,0,6
10982,2,0,0,2,0,4,0,0,,0,0,8
10983,2,0,2,0,0,4,0,0,,0,0,8
10984,2,0,0,2,0,2,0,0,,0,0,6
10985,2,0,2,2,0,4,0,0,,0,0,10
10986,2,0,0,0,0,4,0,0,,0,0,6
10987,2,0,0,2,0,4,0,0,,0,0,8
10988,2,0,2,2,0,4,0,0,,0,0,10
10989,2,0,0,2,0,4,0,0,,0,0,8
10990,2,0,2,2,0,4,0,0,,0,0,10
10991,2,0,0,0,0,4,0,0,,0,0,6
10992,2,0,2,0,0,4,0,0,,0,0,8
10993,2,0,0,2,0,2,0,0,,0,0,6
10994,2,0,2,0,0,4,0,0,,0,2,10
10995,2,0,0,0,0,4,0,0,,0,0,6
10996,2,0,2,2,0,4,0,0,,0,0,10
10997,2,0,0,0,0,4,0,0,,0,0,6
10998,0,0,0,2,0,4,0,0,,0,0,6
10999,2,0,0,2,0,409,0,0,,0,0,413
11000,2,0,2,0,0,2,0,0,,0,0,6
11001,2,0,0,2,0,4,0,0,,0,0,8
11002,2,0,2,0,0,2,0,0,,0,0,6
11003,2,0,0,0,0,4,0,0,,0,0,6
11004,2,0,2,2,0,2,0,0,,0,0,8
11005,2,0,0,0,0,4,0,0,,0,0,6
11006,2,0,0,2,0,2,0,0,,0,0,6
11007,2,0,2,2,0,2,0,0,,0,0,8
11008,0,0,0,2,0,4,0,0,,0,0,6
11009,2,0,2,0,0,4,0,0,,0,0,8
11010,2,0,0,2,0,4,0,0,,0,0,8
11011,2,0,0,2,0,277,0,0,,0,0,281
11012,2,0,2,0,0,4,0,0,,0,0,8
11013,2,0,0,2,0,4,0,0,,0,0,8
11014,2,0,2,0,0,4,0,0,,0,0,8
11015,2,0,0,0,0,4,0,0,,0,0,6
11016,2,0,2,2,0,2,0,0,,0,0,8
11017,2,0,2,2,0,2,0,0,,0,0,8
11018,2,0,0,2,0,4,0,0,,0,0,8
11019,2,0,2,0,0,2,0,0,,0,0,6
11020,2,0,2,2,0,4,0,0,,0,0,10
11021,2,0,2,2,0,2,0,0,,0,0,8
11022,2,0,0,0,0,4,0,0,,0,0,6
11023,2,0,2,2,0,4,0,0,,0,0,10
11024,0,0,2,0,0,4,0,0,,0,0,6
11025,2,0,0,2,0,2,0,0,,0,0,6
11026,2,0,2,0,0,439,0,0,,0,0,443
11027,2,0,0,2,0,2,0,0,,0,0,6
11028,2,0,0,0,0,4,0,0,,0,0,6
11029,2,0,0,0,0,2,0,0,,0,0,4
11030,0,0,2,2,0,4,0,0,,0,0,8
